,order,class,family,species,AaM,log.AaM,adMort,svl,repmode,juvTerr,birth.svl,longevity,juvSurv,juvMort,AdTerr,mass,birth.mass,RCM,IPB,reloff
5421,Anura,Amphibia,Rhacophoridae,Rhacophorus monticola,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5422,Anura,Amphibia,Rhacophoridae,Rhacophorus nigropalmatus,NA,NA,NA,97.7,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5423,Anura,Amphibia,Rhacophoridae,Rhacophorus nigropunctatus,NA,NA,NA,44.5,0,0,1.8,NA,NA,NA,1,NA,NA,NA,NA,6.62E-05
5424,Anura,Amphibia,Rhacophoridae,Rhacophorus omeimontis,3,1.098612289,0.25,80,0,0,3.3,8,0.000458716,8.687080156,1,NA,NA,0.030602602,0.2,7.02E-05
5425,Anura,Amphibia,Rhacophoridae,Rhacophorus orlovi,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5426,Anura,Amphibia,Rhacophoridae,Rhacophorus owstoni,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,7.6,NA,NA,NA,NA
5427,Anura,Amphibia,Rhacophoridae,Rhacophorus pardalis,NA,NA,NA,70,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5428,Anura,Amphibia,Rhacophoridae,Rhacophorus penanorum,NA,NA,NA,34,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5429,Anura,Amphibia,Rhacophoridae,Rhacophorus poecilonotus,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5430,Anura,Amphibia,Rhacophoridae,Rhacophorus prasinatus,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5431,Anura,Amphibia,Rhacophoridae,Rhacophorus prominanus,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5432,Anura,Amphibia,Rhacophoridae,Rhacophorus pseudomalabaricus,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5433,Anura,Amphibia,Rhacophoridae,Rhacophorus puerensis,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5434,Anura,Amphibia,Rhacophoridae,Rhacophorus reinwardtii,NA,NA,NA,82.7,0,0,3,NA,NA,NA,1,NA,NA,0.003246057,NA,4.77E-05
5435,Anura,Amphibia,Rhacophoridae,Rhacophorus rhodopus,NA,NA,NA,48.7,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5436,Anura,Amphibia,Rhacophoridae,Rhacophorus robinsonii,NA,NA,NA,92,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5437,Anura,Amphibia,Rhacophoridae,Rhacophorus rufipes,NA,NA,NA,50,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5438,Anura,Amphibia,Rhacophoridae,Rhacophorus schlegelii,NA,NA,NA,57,0,0,2.5,NA,NA,NA,1,3.2,NA,0.031217433,NA,8.44E-05
5439,Anura,Amphibia,Rhacophoridae,Rhacophorus spelaeus,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5440,Anura,Amphibia,Rhacophoridae,Rhacophorus subansiriensis,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5441,Anura,Amphibia,Rhacophoridae,Rhacophorus suffry,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5442,Anura,Amphibia,Rhacophoridae,Rhacophorus taipeianus,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5443,Anura,Amphibia,Rhacophoridae,Rhacophorus translineatus,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5444,Anura,Amphibia,Rhacophoridae,Rhacophorus tuberculatus,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5445,Anura,Amphibia,Rhacophoridae,Rhacophorus turpes,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5446,Anura,Amphibia,Rhacophoridae,Rhacophorus vampyrus,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5447,Anura,Amphibia,Rhacophoridae,Rhacophorus verrucopus,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5448,Anura,Amphibia,Rhacophoridae,Rhacophorus viridis,NA,NA,NA,22,0,0,NA,NA,NA,NA,1,9.1,NA,NA,NA,NA
5449,Anura,Amphibia,Rhacophoridae,Rhacophorus yaoshanensis,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5450,Anura,Amphibia,Rhacophoridae,Rhacophorus yinggelingensis,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5451,Anura,Amphibia,Rhacophoridae,Theloderma andersoni,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5452,Anura,Amphibia,Rhacophoridae,Theloderma asperum,NA,NA,NA,34.5,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5453,Anura,Amphibia,Rhacophoridae,Theloderma baibengensis,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5454,Anura,Amphibia,Rhacophoridae,Theloderma bicolor,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5455,Anura,Amphibia,Rhacophoridae,Theloderma corticale,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5456,Anura,Amphibia,Rhacophoridae,Theloderma gordoni,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5457,Anura,Amphibia,Rhacophoridae,Theloderma horridum,NA,NA,NA,50,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5458,Anura,Amphibia,Rhacophoridae,Theloderma kwangsiense,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5459,Anura,Amphibia,Rhacophoridae,Theloderma lateriticum,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5460,Anura,Amphibia,Rhacophoridae,Theloderma leporosum,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5461,Anura,Amphibia,Rhacophoridae,Theloderma licin,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5462,Anura,Amphibia,Rhacophoridae,Theloderma moloch,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5463,Anura,Amphibia,Rhacophoridae,Theloderma nagalandense,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5464,Anura,Amphibia,Rhacophoridae,Theloderma phrynoderma,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5465,Anura,Amphibia,Rhacophoridae,Theloderma rhododiscus,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5466,Anura,Amphibia,Rhacophoridae,Theloderma ryabovi,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5467,Anura,Amphibia,Rhacophoridae,Theloderma stellatum,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
